acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-0.2418,-28.8872,5.7197,27.3438,-67.688,-6.2866,110029.0
0.0215,-26.1171,4.057,24.353,-43.9453,53.3447,120052.0
-0.2298,-21.3682,3.9109,1.9531,-27.9541,144.4702,130053.0
-1.0678,-13.1382,3.3351,-47.6074,-18.8599,157.2266,141154.0
-0.7111,-10.6769,3.9025,-66.04,-13.0615,157.5928,151155.0
-0.5148,-10.6195,5.5438,-72.6318,-10.7422,147.7051,161163.0
-0.4417,-8.1235,7.6602,-61.0962,-6.4087,141.1743,171169.0
1.2175,-4.3527,7.5824,-35.7056,29.6021,108.7036,181177.0
1.421,-2.6109,7.5776,-38.5132,46.4478,90.0269,191180.0
1.482,-1.2857,9.6127,-51.0254,57.4341,66.8945,201184.0
1.5347,0.8835,9.9024,-59.3872,78.9185,43.0908,211191.0
1.4844,3.6691,7.4124,-57.9224,108.2764,13.916,221195.0
1.5802,8.4216,0.3077,-39.2456,139.2822,-74.5239,231197.0
1.3874,8.9639,-3.7409,-24.231,139.3433,-131.7139,241203.0
0.4058,6.6655,-8.8597,-12.8174,133.8501,-189.1479,251211.0
-0.5339,1.0139,-15.099,-7.8735,114.0137,-237.4878,261218.0
-1.3048,-9.8785,-20.972,-11.2915,78.0029,-270.5688,271224.0
-1.8112,-21.5442,-14.2168,4.4556,-61.6455,-224.9756,281224.0
-1.5107,-32.9215,-8.6467,32.6538,-105.4077,-146.6064,291230.0
-1.8818,-28.2995,-2.7641,57.1289,-126.4038,-56.1523,301235.0
-1.816,-21.3742,1.7071,62.8662,-129.8828,13.5498,311243.0
-2.1536,-15.8736,4.3622,49.8657,-114.9902,49.4385,321248.0
-2.1799,-10.5824,7.7141,15.625,-75.5615,58.8989,331248.0
-0.9409,-6.8618,5.132,10.1318,-48.645,35.9497,341253.0
-0.261,-8.4108,4.8064,6.7749,-43.335,11.3525,351258.0
0.0742,-10.1801,5.9005,11.2915,-47.5464,-4.2725,361261.0
0.0634,-11.3066,6.9815,25.6348,-46.875,-9.8267,371269.0
0.3412,-10.993,7.9176,34.6069,-30.9448,-9.2773,381273.0
0.7506,-11.4,8.9627,22.3999,-16.6016,-5.127,391279.0
0.99,-11.546,7.2305,6.897,3.0518,-0.6714,401283.0
0.8619,-11.2348,4.6448,-5.5542,19.6533,7.6294,411283.0
0.7793,-10.8266,2.4672,-12.4512,27.3438,15.625,421290.0
0.5483,-10.2855,0.6081,-1.77,24.5972,28.8696,431293.0
0.1724,-8.1128,-1.2414,8.9722,17.395,32.2876,441297.0
0.3196,-7.3466,-1.0451,18.3716,9.4604,29.7852,451306.0
0.4262,-7.1323,-0.9912,22.1558,5.4321,23.5596,461306.0
0.5124,-7.6495,-1.4138,17.4561,4.2725,15.625,471314.0
0.5076,-8.3749,-1.7729,2.7466,0.1221,4.6387,481318.0
0.3591,-10.2556,-1.658,1.2207,-3.2349,2.9297,491341.0
0.4106,-10.8565,-1.3276,4.5776,-6.8359,4.6387,501344.0
