acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-0.6943,8.5952,-11.7962,16.2964,-167.9077,-80.7495,110041.0
-3.3722,4.3395,8.2325,89.6606,-233.7036,-141.6626,120047.0
-4.0725,9.0537,10.7272,82.9468,-202.1484,-169.7388,130047.0
-4.853,10.1873,8.9914,54.6875,-158.9966,-222.3511,140054.0
-5.8203,4.6974,4.0318,32.959,-124.8779,-289.6118,150061.0
-6.541,-2.7294,-0.2263,33.6914,-116.9434,-332.4585,160061.0
-7.4735,-16.5798,0.6393,49.3164,-167.6025,-331.1768,170062.0
-9.2572,-20.6332,4.6124,52.8564,-195.3125,-296.2646,180065.0
-9.9718,-21.5406,8.2863,63.7207,-207.5195,-246.7041,190065.0
-10.4423,-21.3934,10.9056,64.27,-199.4019,-201.355,200071.0
-10.5309,-21.616,13.6134,52.3071,-180.9692,-165.1001,210077.0
-10.2987,-21.2617,15.9023,26.4893,-114.9292,-98.7549,220082.0
-9.1399,-19.4625,16.3907,15.4419,-69.0918,-68.5425,230082.0
-8.4001,-17.692,13.975,3.479,-22.583,-40.0391,240087.0
-7.7117,-15.5324,10.3561,-8.1787,15.3198,-15.0146,250092.0
-7.167,-13.198,6.8199,-17.5781,40.4663,4.2114,260100.0
-6.4416,-10.5656,3.4429,-22.522,54.2603,27.5879,270106.0
-5.436,-6.3398,-0.9792,-18.8599,43.2129,30.8228,280123.0
-5.0578,-5.0554,-1.3623,-10.9253,25.5127,30.2124,290134.0
-4.853,-4.4041,0.2562,-0.8545,4.3945,27.0386,300152.0
-4.6412,-3.9588,2.0818,9.8267,-11.0474,22.3999,310169.0
-4.549,-4.6268,3.3303,7.7515,-20.0195,6.0425,320181.0
-4.5526,-7.5226,5.5198,5.188,-18.8599,2.5635,330198.0
-4.7597,-8.3246,5.855,3.54,-14.7705,4.0894,340211.0
-4.9728,-8.91,5.8263,4.8218,-10.7422,7.0801,350227.0
-5.2289,-8.8454,5.6539,8.7891,-6.958,11.3525,360239.0
-5.3965,-8.084,5.1643,14.0991,0.5493,17.2729,370256.0
-5.6826,-6.8761,3.4991,12.3901,1.4648,15.564,380268.0
-5.6755,-7.0497,3.4441,9.0332,-1.1597,11.9019,390284.0
-5.5964,-7.2891,3.5602,7.4463,-2.9297,9.7046,400292.0
-5.4887,-7.3035,3.6763,8.3618,-3.9673,9.8267,410307.0
-5.3846,-7.5322,3.948,6.897,-4.2725,10.0098,420322.0
-5.1763,-7.695,4.3718,5.249,-2.2583,10.9253,430330.0
-5.1104,-7.7812,4.4724,2.0752,0.3052,11.4136,440344.0
-5.0578,-7.9787,4.4125,-1.8311,3.1738,11.7798,450362.0
-5.0589,-7.914,4.3455,-3.9673,5.4932,13.1226,460379.0
-5.0494,-7.7009,4.2856,-5.127,8.3618,13.6108,470389.0
-4.9344,-7.6148,3.3567,-7.3853,8.5449,12.5732,480408.0
-4.8985,-7.6519,3.1065,-5.9204,6.2256,12.0239,490424.0
-4.8842,-7.3753,3.4273,-1.5869,2.5635,12.8174,500441.0
