acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-3.3351,-23.2381,7.8482,-17.7002,154.48,134.7046,110038.0
-3.8666,-16.2099,4.2114,-17.334,173.5229,162.7808,120042.0
-3.6895,-13.374,0.972,-20.6909,187.3779,177.4292,130047.0
-2.8814,-11.4886,-2.2278,-25.5737,187.9883,181.9458,140047.0
-2.0135,-10.0844,-4.6998,-24.5361,176.0864,181.1523,150053.0
-1.0283,-8.4312,-5.8502,-17.0898,126.2207,180.0537,160055.0
0.905,-5.2613,-5.3451,-0.9155,98.0225,172.4854,170055.0
1.8423,-4.9261,-4.5047,7.4463,71.5942,159.1187,180057.0
2.563,-4.9249,-3.9744,12.3291,49.6216,145.0195,190058.0
3.061,-4.7489,-3.1663,17.1509,28.1372,133.4229,200066.0
3.158,-4.3886,-1.3671,20.6299,-8.2397,112.9761,210070.0
3.2908,-2.7174,2.4433,26.123,-13.4277,100.0366,221156.0
3.5314,-2.8754,2.818,26.7334,-10.9863,81.604,231156.0
3.808,-3.6129,2.496,23.5596,-6.8359,62.3169,241159.0
4.0761,-4.5095,2.0638,18.5547,-5.9204,46.2646,251164.0
4.2006,-5.7317,1.9465,14.5874,-12.6343,27.1606,261166.0
4.0797,-6.8414,2.7402,17.1509,-18.8599,25.1465,271166.0
3.9971,-6.8163,2.9724,18.1885,-19.9585,23.1323,281173.0
3.8128,-7.1658,2.7581,16.9067,-18.6768,18.7988,291173.0
3.7218,-7.8793,3.1855,13.2446,-20.1416,14.0381,301200.0
3.7709,-8.6598,3.8176,12.3901,-18.1274,13.3057,311227.0
3.5985,-8.7688,3.5087,14.9536,-14.0991,17.4561,321257.0
3.5398,-7.9691,3.8978,15.8081,-13.3057,20.2026,331264.0
3.5578,-7.3825,4.2006,12.085,-11.7798,18.2495,341273.0
3.5793,-7.6447,3.9744,3.479,-8.1177,11.4136,351302.0
3.6859,-8.4683,3.5099,-7.7515,-4.7607,2.3193,361305.0
3.9109,-9.6798,3.0406,-6.0425,-5.0659,4.3945,371328.0
3.9612,-9.675,2.8898,0.4272,-5.7983,9.4604,381357.0
4.0761,-9.3015,2.6887,9.8877,-7.2021,15.5029,391357.0
4.0318,-8.8262,2.4924,18.8599,-8.667,20.5078,401388.0
3.9648,-8.1439,2.879,26.7944,-15.7471,24.1089,411416.0
4.039,-6.7995,4.0079,20.3247,-15.2588,20.0806,421416.0
4.0821,-7.1503,3.7565,7.6294,-11.9019,11.9019,431441.0
4.1228,-7.9224,3.6739,-2.1973,-9.8877,4.5166,441462.0
4.2784,-8.6,3.6739,-4.5166,-9.2163,2.3804,451469.0
4.4185,-9.0633,3.3615,6.4087,-5.9814,9.8267,461484.0
4.4508,-8.7376,2.3379,14.7095,-6.5918,16.0522,471514.0
4.3622,-8.0302,2.3655,21.0571,-9.2163,20.9351,481514.0
4.3287,-7.2903,2.9209,23.3765,-13.4277,22.2168,491537.0
4.2617,-6.9695,3.1987,21.3013,-14.4653,19.2871,501565.0
