acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
-3.9169,-5.1116,20.5782,-18.1274,230.5908,-53.772,110024.0
-3.9181,-8.5976,8.6371,-81.7871,288.9404,-81.2378,120028.0
-2.7689,-13.5655,-2.8216,-122.8638,298.5229,-99.9146,130032.0
-0.9098,-15.427,-21.6484,-76.8433,220.2148,-62.0117,140032.0
1.0546,-11.1007,-22.053,-38.8794,137.6953,-30.6396,150040.0
0.7039,-8.1822,-19.4589,-12.4512,62.561,-20.2637,160040.0
0.6464,-6.4344,-17.8105,2.0752,13.4888,-24.7803,170042.0
0.2227,-7.0904,-16.7127,-2.5024,-23.8647,-39.0625,180049.0
-0.1628,-7.8805,-12.4917,-5.188,-98.5718,-63.9648,190050.0
-1.1372,-8.0038,-11.0325,3.2959,-129.1504,-71.7163,200056.0
-2.0842,-7.4436,-8.6993,9.3994,-162.7808,-78.6133,210056.0
-2.9245,-6.8857,-7.1754,11.4746,-195.3735,-86.9751,220060.0
-4.0677,-7.3682,-4.7884,2.2583,-225.5859,-97.6563,230068.0
-5.6383,-7.3873,1.6568,-15.3809,-274.7803,-108.6426,240075.0
-7.2245,-6.2381,22.1105,2.4414,-254.6997,-115.8447,250076.0
-6.0274,-8.4168,26.0513,32.6538,-193.4204,-128.54,260083.0
-5.0506,-10.8397,27.4112,46.1426,-122.6807,-133.8501,270087.0
-4.4784,-13.2842,28.3462,41.9922,-58.5938,-130.0659,280088.0
-4.2401,-16.3608,25.6239,15.0146,77.5757,-98.999,290094.0
-3.9744,-17.3316,13.4686,13.2446,126.2817,-68.9697,300097.0
-4.0761,-15.8891,7.3179,16.6626,155.5786,-39.3677,310098.0
-3.9624,-14.1102,2.156,26.5503,166.5039,-15.4419,320098.0
-3.7553,-12.1997,-2.9856,30.8228,166.4429,2.0142,330105.0
-3.6907,-10.2436,-8.0888,29.6631,131.8359,14.4043,340112.0
-2.6815,-8.5796,-12.9634,28.5034,98.5718,11.4136,350116.0
-2.2936,-8.4611,-13.3513,28.5034,61.6455,7.6294,360117.0
-2.0782,-8.7293,-11.5508,27.1606,21.8506,3.7842,370120.0
-2.0315,-9.6199,-8.2337,23.9258,-11.9019,-1.0986,380127.0
-2.1284,-10.076,-5.4241,2.5635,-45.5933,-3.9062,390131.0
-2.6456,-11.4168,-1.7538,8.4229,-53.9551,-2.9907,400138.0
-2.6791,-11.9519,0.0479,9.0942,-60.9131,0.4883,410138.0
-2.7402,-12.4894,1.4868,8.9722,-64.9414,5.3711,420142.0
-2.8515,-12.8341,3.2717,6.8359,-67.2607,12.4512,430150.0
-2.9999,-12.6857,5.2206,3.8452,-50.5981,31.1279,440153.0
-3.0035,-10.5931,7.0306,0.5493,-46.3867,37.9028,451240.0
-2.8778,-9.7612,6.2513,-2.6245,-31.7993,39.7949,461245.0
-2.6767,-9.1854,5.4743,-4.5776,-21.4233,38.8184,471252.0
-2.5187,-8.4743,4.6723,-3.9062,-13.6108,37.4756,481252.0
-2.3212,-7.8099,3.2621,6.8359,-1.8311,31.9214,491256.0
-1.8375,-7.8386,1.9142,10.1318,3.7231,28.6865,501263.0
