acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp_us
4.707,6.049,1.4988,-63.9038,12.2681,-142.8833,110032.0
4.1899,5.6767,-0.0611,-54.5654,12.3901,-186.0962,120038.0
3.395,4.6747,-0.8835,-37.9028,3.9062,-226.3184,130040.0
2.2266,2.806,-0.17,-9.8877,-25.9399,-289.1235,140044.0
0.1305,-2.7593,1.6017,-2.6855,-35.0952,-308.5937,150048.0
-0.6393,-4.7597,1.2163,7.8125,-39.4287,-318.0542,160048.0
-1.1349,-7.2676,0.1867,12.146,-40.8936,-321.6553,170053.0
-3.1149,-8.7101,-0.5339,16.7236,-48.645,-318.2373,180058.0
-1.2677,-8.078,-0.7242,38.269,-83.9233,-303.772,190064.0
-2.7521,-9.7229,1.0702,32.959,-85.8154,-309.6924,200069.0
-2.6504,-11.7723,0.2167,28.1372,-83.7402,-311.3403,210070.0
-2.1979,-14.0863,-0.759,29.6021,-86.3037,-305.4199,220078.0
-2.0794,-16.0483,-1.3527,39.1846,-93.5669,-290.3442,230082.0
-2.0518,-17.8572,-1.8783,49.3164,-112.7319,-245.9717,240084.0
-1.3396,-24.9488,-1.6712,30.7617,-128.418,-215.5762,250088.0
-1.1289,-26.1411,1.3946,26.9775,-148.0713,-169.0674,260095.0
-1.0187,-25.6371,3.3303,38.5742,-151.9165,-115.9668,270095.0
-0.8978,-24.695,3.5745,48.3398,-139.0381,-68.0542,280101.0
-1.2498,-22.9604,5.2158,59.021,-124.5117,9.3994,290105.0
-1.2462,-18.8519,9.2476,57.9224,-107.7271,35.8276,301193.0
-1.2725,-17.6824,10.1299,38.5132,-83.8013,56.3354,311198.0
-1.1803,-16.4781,9.4367,19.7754,-53.833,74.7681,321203.0
-1.0451,-15.3456,7.1575,10.8643,-24.9634,89.2334,331204.0
-1.2977,-12.2428,3.1663,9.1553,4.7607,105.7739,341211.0
-1.0199,-10.0078,2.3547,15.4419,5.188,110.1074,351218.0
-0.8045,-8.2217,1.7561,19.4702,2.5635,107.605,361224.0
-0.3915,-7.1359,1.3479,23.0103,-1.1597,98.8159,371226.0
0.1089,-6.8582,1.4018,23.9868,-6.1646,87.3413,381233.0
0.7135,-8.4084,2.7617,16.0522,-13.0005,67.2607,391235.0
1.2067,-8.5461,4.8794,10.0708,-15.2588,64.8804,401242.0
1.318,-8.4072,6.0106,-1.2817,-8.2397,65.3076,411249.0
1.2965,-8.3809,5.2313,-16.4795,8.3008,64.27,421252.0
1.2809,-7.9128,3.2836,-28.5034,24.7192,61.9507,431254.0
1.3994,-7.7955,-0.3496,-26.5503,34.4849,54.5044,441254.0
1.2294,-5.6886,-1.336,-12.7563,26.7944,52.4292,451259.0
1.1265,-3.9648,-1.2965,4.9438,13.6719,46.0815,461262.0
1.2198,-3.4752,-0.6476,18.6768,-0.7324,32.1045,471262.0
1.409,-3.8259,0.6644,25.4517,-12.6343,14.9536,481268.0
1.5095,-4.5789,1.9944,14.5264,-21.6064,-15.3809,491275.0
1.7693,-8.5868,3.3327,1.0376,-19.8975,-27.2827,501276.0
